Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary
1,0.38,0.53,2,157,3,0,0,sales,low
2,0.8,0.86,5,262,6,0,0,sales,medium
3,0.11,0.88,7,272,4,0,0,sales,medium
4,0.72,0.87,5,223,5,0,0,sales,low
5,0.37,0.52,2,159,3,0,0,sales,low
6,0.41,0.5,2,153,3,0,0,sales,low
7,0.1,0.77,6,247,4,0,0,sales,low
8,0.92,0.85,5,259,5,0,0,sales,low
9,0.89,1,5,224,5,0,0,sales,low
10,0.42,0.53,2,142,3,0,0,sales,low
11,0.45,0.54,2,135,3,0,0,sales,low
12,0.11,0.81,6,305,4,0,0,sales,low
13,0.84,0.92,4,234,5,0,0,sales,low
14,0.41,0.55,2,148,3,0,0,sales,low
15,0.36,0.56,2,137,3,0,0,sales,low
16,0.38,0.54,2,143,3,0,0,sales,low
17,0.45,0.47,2,160,3,0,0,sales,low
18,0.78,0.99,4,255,6,0,0,sales,low
19,0.45,0.51,2,160,3,1,1,sales,low
20,0.76,0.89,5,262,5,0,0,sales,low
21,0.11,0.83,6,282,4,0,0,sales,low
22,0.38,0.55,2,147,3,0,0,sales,low
23,0.09,0.95,6,304,4,0,0,sales,low
24,0.46,0.57,2,139,3,0,0,sales,low
25,0.4,0.53,2,158,3,0,0,sales,low
26,0.89,0.92,5,242,5,0,0,sales,low
27,0.82,0.87,4,239,5,0,0,sales,low
28,0.4,0.49,2,135,3,0,0,sales,low
29,0.41,0.46,2,128,3,0,0,accounting,low
30,0.38,0.5,2,132,3,0,0,accounting,low
31,0.09,0.62,6,294,4,0,0,accounting,low
32,0.45,0.57,2,134,3,0,0,hr,low
33,0.4,0.51,2,145,3,0,0,hr,low
34,0.45,0.55,2,140,3,0,0,hr,low
35,0.84,0.87,4,246,6,0,0,hr,low
36,0.1,0.94,6,255,4,0,0,technical,low
37,0.38,0.46,2,137,3,0,0,technical,low
38,0.45,0.5,2,126,3,0,0,technical,low
39,0.11,0.89,6,306,4,0,0,technical,low
40,0.41,0.54,2,152,3,0,0,technical,low
41,0.87,0.88,5,269,5,0,0,technical,low
42,0.45,0.48,2,158,3,0,0,technical,low
43,0.4,0.46,2,127,3,0,0,technical,low
44,0.1,0.8,7,281,4,0,0,technical,low
45,0.09,0.89,6,276,4,0,0,technical,low
46,0.84,0.74,3,182,4,0,0,technical,low
47,0.4,0.55,2,147,3,0,0,support,low
48,0.57,0.7,3,273,6,0,0,support,low
49,0.4,0.54,2,148,3,0,0,support,low
50,0.43,0.47,2,147,3,0,0,support,low
51,0.13,0.78,6,152,2,0,0,support,low
52,0.44,0.55,2,135,3,0,0,support,low
53,0.38,0.55,2,134,3,0,0,support,low
54,0.39,0.54,2,132,3,0,0,support,low
55,0.1,0.92,7,307,4,0,0,support,low
56,0.37,0.46,2,140,3,0,0,support,low
57,0.11,0.94,7,255,4,0,0,support,low
58,0.1,0.81,6,309,4,0,0,technical,low
59,0.38,0.54,2,128,3,0,0,technical,low
60,0.85,1,4,225,5,0,0,technical,low
61,0.85,0.91,5,226,5,0,0,management,medium
62,0.11,0.93,7,308,4,0,0,IT,medium
63,0.1,0.95,6,244,5,0,0,IT,medium
64,0.36,0.56,2,132,3,0,0,IT,medium
65,0.11,0.94,6,286,4,0,0,IT,medium
66,0.81,0.7,6,161,4,0,0,IT,medium
67,0.43,0.54,2,153,3,0,0,product_mng,medium
68,0.9,0.98,4,264,6,0,0,product_mng,medium
69,0.76,0.86,5,223,5,1,0,product_mng,medium
70,0.43,0.5,2,135,3,0,0,product_mng,medium
71,0.74,0.99,2,277,3,0,0,IT,medium
72,0.09,0.77,5,275,4,0,0,product_mng,medium
